,Unnamed: 0,KID,Prot,Kepmag,B-V,Scatter,Var,Notes1,Notes2,Notes3
0,0,2013503,19.065,13.759,0.701,6.62,Spots,0,0,0
1,1,2447723,23.023000000000003,13.052,0.649,2.29,Spots,0,0,0
2,2,2581014,16.418,13.62,0.6779999999999999,0.92,Spots,0,0,0
3,3,2582166,20.659,12.606,0.647,0.99,Faculae,0,0,0
4,4,2694675,12.65,14.335,0.6890000000000001,3.77,Spots,0,0,1
5,5,2694810,0.478,12.98,0.645,6.13,,1,1,1
6,6,2712799,8.567,15.138,0.5870000000000001,4.89,Spots,0,0,0
7,7,2720200,10.845999999999998,14.882,0.6970000000000001,6.83,Spots,0,0,0
8,8,2848223,4.751,13.62,,6.32,Spots,0,0,0
9,9,2974459,48.867,12.476,0.6409999999999999,1.26,Faculae,0,0,0
10,10,2998285,12.915,14.439,0.647,3.26,Spots,0,0,0
11,11,3098004,13.276,12.965,0.623,1.97,Spots,0,0,0
12,12,3100219,11.925,11.283,0.706,2.48,Spots,0,0,0
13,13,3100608,12.695,15.284,0.698,10.05,Spots,0,0,0
14,14,3112131,9.655,13.976,0.635,6.63,Spots,0,0,0
15,15,3120356,9.732,14.73,0.68,6.08,Spots,0,0,0
16,16,3236788,5.4289999999999985,13.702,0.618,11.11,Spots,0,1,0
17,17,3241761,11.211,13.195,0.609,6.72,Spots,0,0,0
18,18,3339737,17.303,14.436,0.674,2.68,Spots,0,0,1
19,19,3348273,4.2810000000000015,15.335,0.636,7.88,Spots,0,0,0
20,20,3355907,18.346,13.41,0.6659999999999999,4.39,Spots,0,0,0
21,21,3445089,8.956,14.845,0.667,5.93,Spots,0,0,1
22,22,3526570,10.316,15.331,0.71,7.24,Spots,0,0,0
23,23,3539172,17.91,13.917,0.7070000000000001,1.5,Faculae,0,0,0
24,24,3550386,0.319,15.514,0.746,17.17,Spots,0,0,0
25,25,3634449,23.161,15.87,0.669,12.39,Spots,0,0,0
26,26,3641346,14.722,13.17,0.575,1.1,Spots,0,0,0
27,27,3743810,1.101,11.093,,4.71,Spots,0,1,1
28,28,3747974,13.532,13.649,0.616,8.25,Spots,0,0,1
29,29,3748982,17.951,15.169,0.6990000000000001,3.98,Spots,0,0,0
30,30,3839042,16.088,12.371,0.581,1.21,Faculae,0,0,0
31,31,3850974,8.554,14.929,0.715,8.78,Spots,0,0,0
32,32,3853405,0.35200000000000004,14.514,0.622,30.48,,1,0,0
33,33,3942959,10.656,13.633,0.6459999999999999,6.34,Spots,0,0,0
34,34,3951905,13.081,14.625,0.684,2.42,Spots,0,0,1
35,35,3958523,9.952,13.277,0.624,8.66,Spots,0,0,0
36,36,3965916,23.713,13.617,0.6579999999999999,1.85,Faculae,0,0,0
37,37,3974758,11.829,14.629,0.698,4.0,,0,0,0
38,38,4039677,13.755999999999998,15.048,0.685,2.18,Spots,0,0,0
39,39,4158803,14.132,13.113,0.609,3.13,Spots,0,0,0
40,40,4242173,14.127,12.511,0.611,1.89,Spots,0,0,0
41,41,4243697,45.428,10.415,,0.84,Faculae,0,0,0
42,42,4252390,19.489,13.944,0.628,1.41,Spots,0,0,0
43,43,4260947,9.111,14.12,0.634,8.34,,0,0,0
44,44,4261467,3.247,14.347,0.648,13.63,,0,0,1
45,45,4271582,16.551,13.554,0.631,1.97,Spots,0,0,0
46,46,4274884,14.447,12.297,0.618,0.63,Faculae,0,0,0
47,47,4379526,7.0379999999999985,14.550999999999998,,7.12,Spots,0,0,0
48,48,4382416,11.849,13.371,0.609,3.9,Spots,0,0,0
49,49,4383012,13.686,14.393,0.649,3.63,Spots,0,0,0
50,50,4384825,2.276,13.73,0.579,1.54,Faculae,0,0,0
51,51,4555566,7.362,14.892,0.71,7.94,Spots,0,1,0
52,52,4555662,2.52,12.344,0.532,6.86,,0,0,0
53,53,4555711,17.031,14.252,0.655,1.33,Faculae,0,0,0
54,54,4649302,15.788,14.388,0.578,1.98,Spots,0,0,0
55,55,4726114,22.408,13.095999999999998,0.711,3.33,Spots,0,1,0
56,56,4831272,11.209,13.24,2.73,,Spots,0,0,0
57,57,4859022,4.583,12.92,0.64,7.21,,0,0,0
58,58,4860414,14.127,15.574000000000002,0.6890000000000001,6.49,Spots,0,0,0
59,59,4863614,1.01,12.453,0.535,41.51,Faculae,1,0,0
60,60,4903070,6.928,15.067,0.629,7.58,Spots,0,0,0
61,61,4909515,7.096,13.822,0.628,1.46,Spots,0,0,0
62,62,4919184,12.986,12.61,0.606,2.42,Spots,0,0,0
63,63,4939764,1.6,14.155,0.594,1.88,Spots,0,0,0
64,64,4947394,7.491,14.817,0.636,2.7,Faculae,0,0,0
65,65,4948236,10.41,15.29,0.675,5.98,Spots,0,0,0
66,66,4995418,12.003,13.331,0.589,5.54,Spots,0,0,0
67,67,4997082,10.172,13.890999999999998,0.6940000000000001,4.52,,0,0,0
68,68,5000199,12.098,13.614,0.574,3.24,Spots,0,0,0
69,69,5003319,6.266,14.841,0.69,5.56,Spots,0,0,0
70,70,5003889,12.559,13.707,0.624,1.51,Spots,0,0,0
71,71,5007875,14.351,14.485,0.622,2.25,Spots,0,0,0
72,72,5017876,10.507,13.713,0.62,6.71,Spots,0,0,0
73,73,5021010,21.629,13.687,0.5579999999999999,1.02,Spots,0,0,0
74,74,5022454,6.725,13.216,0.607,7.48,Spots,0,0,0
75,75,5034263,7.417000000000002,14.285,0.631,5.63,Spots,0,0,0
76,76,5096578,15.091,15.133,0.593,2.11,Spots,0,0,0
77,77,5106550,20.01,15.487,0.7340000000000001,5.1,Spots,0,0,0
78,78,5130844,6.687,14.493,0.677,7.87,Spots,0,0,0
79,79,5183364,13.727,14.519,0.6779999999999999,2.87,Spots,0,0,0
80,80,5185228,14.171,14.507,0.7140000000000001,3.28,Spots,0,0,0
81,81,5271040,13.037,13.911,0.593,2.34,Spots,0,0,0
82,82,5295397,6.32,13.337,0.598,7.76,Spots,0,0,0
83,83,5302725,2.332,13.011,0.5479999999999999,1.41,Spots,0,0,0
84,84,5352480,11.668,14.714,0.64,4.62,Spots,0,0,1
85,85,5352687,5.2,13.472,0.643,8.83,Spots,0,1,0
86,86,5426356,0.415,12.73,0.5920000000000001,23.47,,0,0,0
87,87,5443980,10.925999999999998,14.718,0.59,4.18,Spots,0,0,0
88,88,5450764,16.867,14.967,0.6679999999999999,6.38,Spots,0,1,1
89,89,5467495,12.27,14.258,0.684,2.09,Spots,0,0,0
90,90,5560719,42.063,12.341,0.615,1.83,Faculae,0,0,0
91,91,5563578,13.44,13.845999999999998,0.672,4.33,Spots,0,0,0
92,92,5564082,5.494,10.715,0.612,6.97,,0,0,0
93,93,5597879,17.972,13.078,0.638,3.49,Spots,0,0,1
94,94,5607906,12.45,14.804,0.65,7.01,Spots,0,0,0
95,95,5643492,8.951,14.528,0.611,7.36,Spots,0,0,0
96,96,5693869,18.278,14.257,0.625,1.55,Spots,0,0,0
97,97,5696303,10.411,14.192,,4.74,Spots,0,0,0
98,98,5702872,10.247,13.783,0.593,1.86,Spots,0,0,0
99,99,5717832,19.371,14.628,0.647,2.43,Spots,0,0,0
100,100,5791940,10.833,10.778,0.613,1.93,Spots,0,0,1
101,101,5794238,12.738,15.23,0.6579999999999999,4.46,Spots,0,0,1
102,102,5823237,5.3020000000000005,13.232,0.66,6.34,,0,0,0
103,103,5881665,14.22,13.865,0.6,3.9,Spots,0,0,0
104,104,5951750,13.067,14.747,0.655,6.16,Spots,0,0,1
105,105,5953631,14.778,15.479,0.696,9.33,Spots,0,0,0
106,106,6037036,8.235,12.507,0.618,10.25,Spots,0,0,0
107,107,6038355,8.089,11.732,0.6,6.78,Spots,0,1,0
108,108,6045936,12.782,15.179,0.654,7.93,,0,0,1
109,109,6059892,9.561,13.364,0.588,7.33,,0,0,0
110,110,6065478,29.313,12.666,,0.96,Faculae,0,0,0
111,111,6196908,13.984000000000002,14.845,0.6509999999999999,3.76,,0,0,1
112,112,6205852,19.638,12.209,0.595,0.97,Faculae,0,0,0
113,113,6220160,11.957,15.664,0.687,5.81,Spots,0,0,0
114,114,6263983,13.805,13.173,0.562,10.33,,0,1,0
115,115,6272252,11.668,11.897,2.37,,Spots,0,0,0
116,116,6359539,9.225,14.328,0.6609999999999999,7.43,,0,0,0
117,117,6359768,0.411,15.614,0.637,6.46,,0,0,0
118,118,6364326,6.545,12.722,0.599,6.17,Spots,0,0,0
119,119,6365080,2.667,11.456,0.502,7.65,,0,0,0
120,120,6370015,20.22,13.418,0.6920000000000001,1.13,Faculae,0,0,0
121,121,6442389,18.853,14.673,0.662,2.87,Spots,0,0,0
122,122,6523389,1.281,14.578,0.606,3.86,Spots,0,0,1
123,123,6549746,10.743,15.487,0.76,6.07,Spots,0,0,0
124,124,6550516,18.135,13.449000000000002,0.634,1.8,Faculae,0,0,0
125,125,6605846,13.534,15.813,0.654,9.46,Spots,0,0,1
126,126,6606574,12.416,14.302,0.61,4.5,,0,0,1
127,127,6611775,10.045,12.034,0.57,1.94,,0,0,0
128,128,6613812,14.395,15.117,0.634,4.3,Spots,0,0,0
129,129,6613871,11.821,15.936,0.638,7.75,Spots,0,0,0
130,130,6665390,15.258,13.2,0.546,0.81,Spots,0,0,0
131,131,6679363,15.14,15.406,0.68,3.53,,0,0,0
132,132,6691114,11.889,14.18,0.6509999999999999,5.53,Spots,0,0,1
133,133,6708110,12.603,13.672,0.659,8.39,Spots,0,1,0
134,134,6848271,15.31,15.233,0.594,4.39,Spots,0,0,1
135,135,6864181,12.171,14.037,0.61,7.09,Spots,0,0,1
136,136,6877404,2.097,13.117,0.526,13.39,Faculae,0,0,0
137,137,6922059,10.936,12.161,0.614,7.02,,0,0,1
138,138,6939913,12.661,15.07,0.695,7.61,Spots,0,0,0
139,139,6947058,9.673,15.111,0.698,3.76,Spots,0,0,0
140,140,6949198,15.053,13.974,0.649,2.18,Spots,0,0,1
141,141,6960111,51.787,14.714,0.6859999999999999,1.5,Faculae,0,0,0
142,142,6960292,14.935,13.162,0.688,4.26,Spots,0,0,0
143,143,6963238,6.497000000000001,15.143,0.6579999999999999,5.87,Spots,0,0,0
144,144,6966557,10.823,12.911,0.627,0.81,Faculae,0,0,0
145,145,6976560,10.84,13.889,0.6509999999999999,3.25,Spots,0,0,0
146,146,7009632,22.215,11.28,,0.81,Spots,0,0,1
147,147,7017862,2.053,13.128,0.611,6.96,Spots,0,0,1
148,148,7022813,17.317999999999998,14.746,0.6409999999999999,1.68,Faculae,0,0,0
149,149,7032218,16.090999999999998,12.946,0.617,1.74,Faculae,0,0,0
150,150,7033063,15.62,14.368,0.619,8.11,Spots,0,0,1
151,151,7034441,5.087,14.976,0.659,7.21,Spots,0,0,0
152,152,7101432,10.686,14.283,0.597,4.43,Spots,0,0,1
153,153,7104250,15.33,14.947,0.6890000000000001,4.95,Spots,0,0,1
154,154,7105442,17.725,14.173,0.695,2.48,Spots,0,0,0
155,155,7108863,12.319,15.095,0.631,2.65,Spots,0,0,0
156,156,7109052,10.573,13.689,0.585,3.06,Spots,0,0,0
157,157,7129992,11.96,14.723,0.6659999999999999,6.32,Spots,0,0,0
158,158,7137234,7.077000000000001,13.377,0.631,6.84,Spots,0,0,1
159,159,7138795,13.899,13.918,0.654,4.7,Spots,0,0,0
160,160,7174227,8.579,14.626,0.65,7.61,Spots,0,0,1
161,161,7175234,1.977,10.492,2.64,,Spots,0,0,1
162,162,7175289,16.199,14.731,0.68,6.6,Spots,0,0,0
163,163,7186037,11.967,13.088,0.638,3.47,Spots,0,0,1
164,164,7186846,13.217,13.963,0.6809999999999999,3.92,Spots,0,0,1
165,165,7198834,0.57,15.673,0.655,9.94,Faculae,0,0,0
166,166,7199036,0.57,14.214,0.69,26.39,Faculae,0,0,0
167,167,7203835,17.162,11.851,0.581,0.64,Spots,0,0,0
168,168,7205181,16.733,14.635,0.711,2.07,Spots,0,0,0
169,169,7221039,4.462,14.188,0.662,7.05,Faculae,0,0,0
170,170,7272437,8.728,11.364,0.5489999999999999,1.07,Faculae,0,1,0
171,171,7283444,6.249,14.674,0.653,8.56,Spots,0,0,1
172,172,7295345,13.614,14.51,0.6579999999999999,3.76,Spots,0,0,1
173,173,7347511,16.535,15.438,0.693,6.12,Spots,0,0,1
174,174,7375760,7.268,14.895,0.629,8.37,Spots,0,0,0
175,175,7432092,7.896,13.473,0.598,5.05,,0,1,1
176,176,7433192,1.4340000000000002,14.022,0.612,2.32,,0,1,0
177,177,7435796,29.217,13.162,0.653,0.83,Faculae,0,0,0
178,178,7446184,12.34,15.203,0.642,6.78,Spots,0,0,0
179,179,7448896,5.365,13.841,0.649,9.59,Spots,0,0,0
180,180,7465661,2.366,12.681,0.636,0.64,Faculae,0,0,0
181,181,7466345,14.998,14.857,0.502,1.9,Spots,0,0,1
182,182,7531812,18.622,14.895,0.688,6.72,Spots,0,0,0
183,183,7620991,19.032,14.937,0.6940000000000001,3.5,Spots,0,0,1
184,184,7659219,51.645,12.955,0.7020000000000001,0.69,Faculae,0,0,0
185,185,7678238,7.591,15.184,0.643,5.94,Spots,0,1,0
186,186,7684838,18.265,13.657,0.66,1.34,Faculae,0,0,0
187,187,7690781,6.726,15.211,0.609,10.06,Spots,0,0,0
188,188,7691547,0.34700000000000003,14.462,0.614,31.16,,1,0,0
189,189,7692465,12.7,14.942,0.682,4.24,Spots,0,0,0
190,190,7696149,11.96,15.315,0.672,5.19,Spots,0,0,1
191,191,7734456,17.864,15.043,0.6409999999999999,4.53,Spots,0,0,0
192,192,7760570,11.082,14.134,0.612,7.17,,0,0,0
193,193,7771531,15.146,13.783,0.598,1.83,Faculae,0,0,0
194,194,7801532,19.275,13.574000000000002,0.649,0.79,,0,0,1
195,195,7803414,11.696,13.705,0.649,1.24,Spots,0,0,0
196,196,7812583,19.547,14.489,0.6409999999999999,1.67,,0,0,0
197,197,7816662,5.32,14.733,0.613,4.83,,0,0,0
198,198,7839874,5.255,14.484000000000002,0.664,5.07,Spots,0,0,0
199,199,7849813,8.988999999999997,14.98,0.6659999999999999,5.64,Spots,0,0,0
200,200,7956211,2.989,15.665,0.608,8.02,,0,0,1
201,201,7969984,19.763,12.309,0.652,2.19,Spots,0,0,0
202,202,7983548,13.387,15.477,0.723,4.97,Spots,0,0,0
203,203,8008334,11.487,13.477,0.539,4.18,Spots,0,0,1
204,204,8018714,15.398,14.837,0.655,5.76,Spots,0,0,0
205,205,8026500,15.411,14.436,0.644,4.39,Spots,0,0,1
206,206,8040364,7.565,15.435,0.67,9.02,Spots,0,0,0
207,207,8041424,3.723,12.836,0.6509999999999999,11.44,,0,1,0
